route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
806,RINFRA-801-1_Weekday-16,46643932,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-16,46643933,,0,652,806NB_160306
806,RINFRA-801-1_Weekday-16,46643934,,0,604,806NB_160306
806,RINFRA-801-1_Weekday-16,46643935,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-16,46643936,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-16,46643937,,0,602,806NB_160306
806,RINFRA-801-1_Weekday-16,46643938,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-16,46643940,,0,601,806NB_160306
806,RINFRA-801-1_Weekday-16,46643941,,0,603,806NB_160306
806,RINFRA-801-1_Weekday-16,46643942,,0,604,806NB_160306
806,RINFRA-801-1_Weekday-16,46643944,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-16,46643945,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-16,46643947,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-16,46643948,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-16,46643949,,0,601,806NB_160306
806,RINFRA-801-1_Weekday-16,46643950,,0,602,806NB_160306
806,RINFRA-801-1_Weekday-16,46643951,,0,603,806NB_160306
806,RINFRA-801-1_Weekday-16,46643952,,0,604,806NB_160306
806,RINFRA-801-1_Weekday-16,46643954,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-16,46643955,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-16,46643957,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-16,46643958,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-16,46643959,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-16,46643960,,0,670,806NB_160306
806,RINFRA-801-1_Weekday-16,46643961,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-16,46643962,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-16,46643963,,0,669,806NB_160306
806,RINFRA-801-1_Weekday-16,46643964,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-16,46643965,,0,671,806NB_160306
806,RINFRA-801-1_Weekday-16,46643966,,0,672,806NB_160306
806,RINFRA-801-1_Weekday-16,46643967,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-16,46643968,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-16,46643969,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-16,46643970,,0,669,806NB_160306
806,RINFRA-801-1_Weekday-16,46643971,,0,670,806NB_160306
806,RINFRA-801-1_Weekday-16,46643972,,0,652,806NB_160306
806,RINFRA-801-1_Weekday-16,46643973,,0,672,806NB_160306
806,RINFRA-801-1_Weekday-16,46643974,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-16,46643975,,0,671,806NB_160306
806,RINFRA-801-1_Weekday-16,46643976,,0,603,806NB_160306
