trip_id,start_time,end_time,headway_secs
18S_18S_S_2_1,16:40:40,17:19:10,210
18S_18S_S_2_1,17:19:10,17:52:55,225
18S_18S_S_2_1,17:52:55,17:57:05,250
18S_18S_S_2_1,17:57:05,21:32:00,300
18S_18S_S_2_1,21:32:00,21:37:30,345
18S_18S_S_2_1,21:37:30,22:32:30,300
18S_18S_S_2_1,22:32:30,22:38:40,370
18S_18S_S_2_1,22:38:40,22:45:20,400
18S_18S_S_2_1,22:45:20,22:59:50,435
18S_18S_S_2_1,22:59:50,23:51:10,440
18S_18S_S_2_1,23:51:10,24:06:10,450
18S_18S_S_2_1,24:06:10,24:29:55,475
18S_18S_S_2_1,24:29:55,24:38:50,535
18S_18S_S_2_0,05:30:00,05:36:50,410
18S_18S_S_2_0,05:36:50,06:09:20,390
18S_18S_S_2_0,06:09:20,06:15:30,370
18S_18S_S_2_0,06:15:30,06:45:30,360
18S_18S_S_2_0,06:45:30,07:02:15,335
18S_18S_S_2_0,07:02:15,07:07:15,300
18S_18S_S_2_0,07:07:15,07:22:55,235
18S_18S_S_2_0,07:22:55,07:52:55,225
18S_18S_S_2_0,07:52:55,07:56:35,220
18S_18S_S_2_0,07:56:35,08:03:25,205
18S_18S_S_2_0,08:03:25,08:32:40,195
18S_18S_S_2_0,08:32:40,08:35:30,170
18S_18S_S_2_0,08:35:30,08:38:10,160
18S_18S_S_2_0,08:38:10,08:43:20,155
18S_18S_S_2_0,08:43:20,08:58:20,150
18S_18S_S_2_0,08:58:20,09:01:00,160
18S_18S_S_2_0,09:01:00,09:06:00,150
18S_18S_S_2_0,09:06:00,09:08:40,160
18S_18S_S_2_0,09:08:40,09:13:40,150
18S_18S_S_2_0,09:13:40,09:16:20,160
18S_18S_S_2_0,09:16:20,09:18:50,150
18S_18S_S_2_0,09:18:50,09:21:50,180
18S_18S_S_2_0,09:21:50,09:28:20,195
18S_18S_S_2_0,09:28:20,09:31:55,215
18S_18S_S_2_0,09:31:55,10:12:15,220
18S_18S_S_2_0,10:12:15,10:34:45,225
18S_18S_S_2_0,10:34:45,10:39:10,265
18S_18S_S_2_0,10:39:10,14:27:10,360
18S_18S_S_2_0,14:27:10,14:32:35,325
18S_18S_S_2_0,14:32:35,14:52:35,300
18S_18S_S_2_0,14:52:35,14:57:20,285
18S_18S_S_2_0,14:57:20,15:01:45,265
18S_18S_S_2_0,15:01:45,15:36:15,230
18S_18S_S_2_0,15:36:15,15:53:45,210
18S_18S_S_2_0,15:53:45,16:13:15,195
18S_18S_S_2_0,16:13:15,17:13:45,165
18S_18S_S_2_0,17:13:45,17:26:45,195
18S_18S_S_2_0,17:26:45,17:51:15,210
18S_18S_S_2_0,17:51:15,18:28:45,225
18S_18S_S_2_0,18:28:45,18:32:55,250
18S_18S_S_2_0,18:32:55,18:37:40,285
18S_18S_S_2_0,18:37:40,23:22:40,300
18S_18S_S_2_0,23:22:40,23:29:30,410
18S_18S_S_2_0,23:29:30,23:51:15,435
18S_18S_S_2_0,23:51:15,24:30:00,465
18S_18S_S_4_0,05:30:00,06:20:00,600
18S_18S_S_4_0,06:20:00,06:38:00,360
18S_18S_S_4_0,06:38:00,06:54:30,330
18S_18S_S_4_0,06:54:30,08:36:20,235
18S_18S_S_4_0,08:36:20,08:40:20,240
18S_18S_S_4_0,08:40:20,09:25:20,270
18S_18S_S_4_0,09:25:20,09:30:30,310
18S_18S_S_4_0,09:30:30,09:40:00,570
18S_18S_S_4_0,09:40:00,15:00:00,600
18S_18S_S_4_0,15:00:00,15:07:00,420
18S_18S_S_4_0,15:07:00,15:19:00,360
18S_18S_S_4_0,15:19:00,15:28:00,270
18S_18S_S_4_0,15:28:00,15:40:00,240
18S_18S_S_4_0,15:40:00,18:16:40,235
18S_18S_S_4_0,18:16:40,18:25:40,270
18S_18S_S_4_0,18:25:40,18:31:30,350
18S_18S_S_4_0,18:31:30,20:00:00,590
18S_18S_S_4_0,20:00:00,24:40:00,600
18S_18S_S_4_0,24:40:00,24:48:30,510
18S_18S_S_4_0,24:48:30,25:00:00,690
18S_18S_S_4_1,05:30:00,06:20:00,600
18S_18S_S_4_1,06:20:00,06:38:00,360
18S_18S_S_4_1,06:38:00,06:43:15,315
18S_18S_S_4_1,06:43:15,06:52:25,275
18S_18S_S_4_1,06:52:25,08:53:50,235
18S_18S_S_4_1,08:53:50,09:16:20,270
18S_18S_S_4_1,09:16:20,09:21:00,280
18S_18S_S_4_1,09:21:00,09:30:00,540
18S_18S_S_4_1,09:30:00,15:00:00,600
18S_18S_S_4_1,15:00:00,15:18:00,360
18S_18S_S_4_1,15:18:00,15:30:00,240
18S_18S_S_4_1,15:30:00,17:58:50,235
18S_18S_S_4_1,17:58:50,18:25:50,270
18S_18S_S_4_1,18:25:50,18:32:35,405
18S_18S_S_4_1,18:32:35,19:40:15,580
18S_18S_S_4_1,19:40:15,19:50:00,585
18S_18S_S_4_1,19:50:00,25:00:00,600
18S_18S_S_5_3,05:30:00,05:39:30,570
18S_18S_S_5_3,05:39:30,05:48:30,540
18S_18S_S_5_3,05:48:30,06:03:00,435
18S_18S_S_5_3,06:03:00,06:09:10,370
18S_18S_S_5_3,06:09:10,07:43:40,270
18S_18S_S_5_3,07:43:40,07:47:25,225
18S_18S_S_5_3,07:47:25,08:09:25,220
18S_18S_S_5_3,08:09:25,08:13:35,250
18S_18S_S_5_3,08:13:35,09:34:35,270
18S_18S_S_5_3,09:34:35,09:39:45,310
18S_18S_S_5_3,09:39:45,14:51:45,390
18S_18S_S_5_3,14:51:45,14:57:15,330
18S_18S_S_5_3,14:57:15,15:22:15,300
18S_18S_S_5_3,15:22:15,15:26:55,280
18S_18S_S_5_3,15:26:55,17:10:25,270
18S_18S_S_5_3,17:10:25,22:30:25,300
18S_18S_S_5_3,22:30:25,22:36:35,370
18S_18S_S_5_3,22:36:35,24:25:05,465
18S_18S_S_5_3,24:25:05,24:35:00,595
18S_18S_S_5_3,24:35:00,24:45:00,600
18S_18S_S_5_2,05:30:00,05:39:30,570
18S_18S_S_5_2,05:39:30,05:48:00,510
18S_18S_S_5_2,05:48:00,05:56:00,480
18S_18S_S_5_2,05:56:00,06:02:15,375
18S_18S_S_5_2,06:02:15,08:03:45,270
18S_18S_S_5_2,08:03:45,08:38:15,230
18S_18S_S_5_2,08:38:15,09:27:45,270
18S_18S_S_5_2,09:27:45,09:33:45,360
18S_18S_S_5_2,09:33:45,14:52:15,390
18S_18S_S_5_2,14:52:15,15:47:15,300
18S_18S_S_5_2,15:47:15,17:30:45,270
18S_18S_S_5_2,17:30:45,22:25:45,300
18S_18S_S_5_2,22:25:45,22:33:15,450
18S_18S_S_5_2,22:33:15,24:45:00,465
18S_18S_A_1_3,05:30:00,07:25:30,630
18S_18S_A_1_3,07:25:30,08:12:10,560
18S_18S_A_1_3,08:12:10,10:43:40,505
18S_18S_A_1_3,10:43:40,12:00:20,460
18S_18S_A_1_3,12:00:20,12:07:20,420
18S_18S_A_1_3,12:07:20,18:24:20,390
18S_18S_A_1_3,18:24:20,18:31:20,420
18S_18S_A_1_3,18:31:20,19:25:00,460
18S_18S_A_1_3,19:25:00,21:22:50,505
18S_18S_A_1_3,21:22:50,24:01:30,560
18S_18S_A_1_3,24:01:30,24:12:00,630
18S_18S_A_1_3,24:12:00,24:23:00,660
18S_18S_A_1_3,24:23:00,25:08:00,675
18S_18S_A_1_2,05:30:00,08:07:30,630
18S_18S_A_1_2,08:07:30,08:54:10,560
18S_18S_A_1_2,08:54:10,09:02:45,515
18S_18S_A_1_2,09:02:45,10:01:40,505
18S_18S_A_1_2,10:01:40,12:04:20,460
18S_18S_A_1_2,12:04:20,18:27:50,390
18S_18S_A_1_2,18:27:50,18:35:20,450
18S_18S_A_1_2,18:35:20,20:07:20,460
18S_18S_A_1_2,20:07:20,20:15:35,495
18S_18S_A_1_2,20:15:35,22:05:00,505
18S_18S_A_1_2,22:05:00,22:14:10,550
18S_18S_A_1_2,22:14:10,23:19:30,560
18S_18S_A_1_2,23:19:30,24:54:00,630
18S_18S_A_1_2,24:54:00,25:05:00,660
18S_18S_A_2_1,05:29:45,08:07:00,555
18S_18S_A_2_1,08:07:00,09:40:30,510
18S_18S_A_2_1,09:40:30,11:59:55,440
18S_18S_A_2_1,11:59:55,12:19:55,400
18S_18S_A_2_1,12:19:55,18:57:40,385
18S_18S_A_2_1,18:57:40,20:18:20,440
18S_18S_A_2_1,20:18:20,20:50:20,480
